PID,TITLE,AUTHORS
A921017,Extended Spelling Correction for German,#RALF_KESE#FRIEDRICH_DUDDA#GERHARD_HEYER#MARIANNE_KUGLER
A921018,A Practical Part_of_Speech Tagger,#DOUG_CUTTING#JULIAN_KUPIEC#JAN_PEDERSEN#PENELOPE_SIBUN
A921019,DILEMMA_2_ A LEMMATIZER_TAGGER FOR MEDICAL ABSTRACTS,#HANS_PAULUSSEN#WILLY_MARTIN
A921020,A Corpus_Based Statistical Approach to Automatic Book Indexing,#JYUNSHENG_CHANG#TSUNGYIH_TSENG#SURJIN_KER#YING_CHENG#HUEYCHYUN_CHEN#SHUNDER_CHENG#JOHN_S_LIU
A921021,A Simple Rule_Based Part of Speech Tagger,#ERIC_BRILL
A921022,Evaluating Parsing Strategies Using Standardized Parse Files,#RALPH_GRISHMAN#CATHERINE_MACLEOD#JOHN_STERLING
A921023,A Practical Methodology for the Evaluation of Spoken Language Systems,#SEAN_BOISEN#MADELEINE_BATES
A921024,Automatic Extraction of Facts from Press Releases to Generate News Stories,#PEGGY_M_ANDERSEN#PHILIP_J_HAYES#STEVEN_P_WEINSTEIN#ALISON_K_HUETTNER#LINDA_M_SCHMANDT#IRENE_B_NIRENBURG
A921025,Joining Statistics with NLP for Text Categorization,#PAUL_S_JACOBS
A921026,Robust Processing of Real_World Natural_Language Texts,#JERRY_R__HOBBS#DOUGLAS_E__APPELT#JOHN_BEAR#MABRY_TYSON
A921027,An Efficient Chart_based Algorithm for Partial_Parsing of Unrestricted Texts,#DAVID_D_MCDONALD
A921028,Zero Pronoun Resolution in a Machine Translation System by using Japanese to English Verbal Semantic Attributes_,#HIROMI_NAKAIWA#SATORU_IKEHARA
A921029,Compound Nouns in a Unification_Based MT System,#PIERRETTE_BOUILLON#KATHARINA_BOESEFELDT#GRAHAM_RUSSELL
A921030,XTAG _ A Graphical Workbench for Developing Tree_Adjoining Grammars,#PATRICK_PAROUBEK#YVES_SCHABES#ARAVIND_K__JOSHI
A921031,Tagging and Alignment of Parallel Texts_ Current Status of BCP,#A_WINARSKE#S_WARWICKARMSTRONG#J_HAJIE
A921032,Robust parsing of natural language descriptions expressed in telegraphic style,#MICHELA_FASOLO#LORENZO_GARBUIO#NICOLA_GUARINO
A921033,Overview of Natural Language Processing of Captions for Retrieving Multimedia Data,#EUGENE_J_GUGLIELMO#NEIL_C_ROWE
A921034,MORPHE_ A Practical Compiler for Reversible Morphology Rules,#JOHN_R_R_LEAVITT
A921035,Practical World Modeling for NLP Applications,#LYNN_CARLSON#SERGEI_NIRENBURG
A921036,Portable Natural Language Generation using SPOKESMAN,#MARIE_METEER
A921037,A Method of Automatic Hypertext Construction from an Encyclopedic Dictionary of a Specific Field,#SADAO_KUROHASHI#MAKOTO_NAGAO#SATOSHI_SATO#MASAHIKO_MURAKAMI
A921038,Datenbank_DIALOG and the Relevance of Habitability,#HARALD_TROST#WOLFGANG_HEINZ#JOHANNES_MATIASEK#ERNST_BUCHBERGER
A921039,Tools for Grammar Engineering,#GREGOR_ERBACH
A921040,Dialogue Management for Telephone Information Systems,#SCOTT_MCGLASHAN#NORMAN_FRASER#NIGEL_GILBERT#ERIC_BILANGE#PAUL_HEISTERKAMP#NICK_YOUD
A921041,Lexicon Design Using a Paradigmatic Approach,#CRISTIAN_DUMITRESCU
A921042,Acquiring and Exploiting the User_s Knowledge in Guidance Interactions,#EYAL_SHIFRONI#UZZI_ORNAN
A921043,_Learning a Scanning Understanding for __Real_world__ Library Categorization_,#STEFAN_WERMTER
A921044,SEISD_ An environment for extraction of Semantic Information from on_line dictionaries,#ALICIA_AGENT#IRENE_CASTELLON#M_A_MARTI#GERMAN_RIGAU#FRANCESE_RIBAS#HORAEIO_RODRIGUEZ#MARIONA_TAULE_#FELISA_VERDEJO
A921045,Multi_Purpose Development and Operation Environments for Natural Language Applications,#SERGEI_NIRENBURG#PETER_SHELL#ARIEL_COHEN#PETER_COUSSEAU#DEAN_GRANNES#CHRIS_MCNEILLY
A921046,The Role of Testing in Grammar Engineering,#MARTIN_VOLK
A921047,Lexical Processing in the CLARE System,#DAVID_M_CARTER
A941001,Bilingual Generation of Job from Quasi_Conceptual Descriptions Forms,#DAVID_E_CALDWELL#TATIANA_KORELSKY
A941002,Practical Issues in Automatic Documentation Generation,#KATHLEEN_MCKEOWN#KAREN_KUKICH#JAMES_SHAW
A941003,Language Determination_ Natural Language Processing from Scanned Document Images,#PENELOPE_SIBUN#A_LAWRENCE_SPITZ
A941004,Modeling Content Identification from Document Images,#TAKEHIRO_NAKAYAMA
A941005,Machine Translation of Sentences with Fixed Expressions,#NAOTO_KATOH#TERUAKI_AIZAWA
A941006,Termight_ Identifying and Translating Technical Terminology,#IDO_DAGAN#KEN_CHURCH
A941007,Symmetric Pattern Matching Analysis for English Coordinate Structures,#AKITOSHI_OKUMURA#KAZUNORI_MURAKI
A941008,Tagging accurately _ Don_t guess if you know,#PASI_TAPANAINEN#ATRO_VOUTILAINEN
A941009,Does Baum_Welch Re_estimation Help Taggers_,#DAVID_ELWORTHY
A941010,Improving Language Models by Clustering Training Sentences,#DAVID_CARTER
A941011,Exploiting Sophisticated Representations for Document Retrieval,#STEVEN_FINCH
